,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,40.0,40.40467967231488,41.11331687304535,43.13836918464325,48.949630954564576,65.06028892128437,110.08404665594759,236.23305317510574,589.0464041527832,1576.634510269829,4342.690136074148,12085.997631448625,33769.372502479455,94486.37061911286,264486.1670925333,740470.2810227454,2073220.7306219519,5804947.868656422,16253797.212940017,45510413.035597414,127429001.23626435,356801448.3270585,,,,,,,,,
1,40.0,40.034303745512034,40.07150882202229,40.03841264954077,40.16524183707675,40.38501670806793,41.17222772721066,43.25667905572452,48.924812451833006,64.84604815383356,109.41831919709338,234.69083746208335,585.5419631894232,1566.724318434516,4314.740683977918,12007.898538616837,33551.24974547126,93869.81087426531,262764.5781251065,735665.3230388515,2059790.2864867793,5767313.197609242,16148447.613905866,45215576.85395907,126603325.41753483,354489278.63927877,,,,,
2,40.0,39.841402667641084,39.465472063845894,38.44374660868309,35.469395136261,27.21153295204054,,,,,,,,,,,,,,,,,,,,,,,,,
3,40.0,40.174887019392415,40.40817442581893,40.88499460888369,42.640888222002026,47.51075152696261,61.054426139517865,98.8485965795589,204.79857747834748,501.26857864768147,1332.0114258082313,3658.867341942448,10171.964827366051,28408.266355086067,79470.5249241625,222448.96383965612,622796.9045218594,1743749.3356068511,4882417.620851173,13670658.39274845,38277659.08699614,107177378.24609421,300096196.95579636,840269464.8863171,,,,,,,
4,40.0,39.83187679165869,39.734391112865225,39.349783020898194,38.10875861319489,34.60832116119101,24.82185795540876,,,,,,,,,,,,,,,,,,,,,,,,
5,40.0,39.9340951327325,40.086601399581376,40.17801101088766,40.408421421783196,41.177582973383586,43.39056142550326,49.56664256026709,67.15811041567882,115.84857075371497,252.10042689741417,634.0467980026607,1702.742369685578,4693.961124983398,13072.076417738857,36531.33078215422,102213.85724929647,286130.52506396594,801101.3977436094,2243010.048534712,6280295.086014422,17584653.278245617,49236945.41610897,137863389.11279646,386017347.9080335,,,,,,
6,40.0,39.97983331997699,39.89863476882509,39.79516636223382,39.440937834649006,38.6102596399341,36.28052079883658,29.926276242452666,11.758066832820717,,,,,,,,,,,,,,,,,,,,,,
7,40.0,40.00133489607628,39.9675884823243,39.98413705633846,39.967805188756884,39.864286135672884,40.00801198905208,40.03682460508649,40.11515787999303,40.48239405743523,41.323541601616675,43.82579835311313,50.74606783553692,70.12466044920012,124.29283675853276,276.04245858398656,701.4713649130609,1892.2796905659702,5226.256274657568,14560.664595667182,40701.53354143191,113894.06348013044,318832.57740793214,892640.2155850057,2499302.9213496754,6998005.1007459145,19594354.38485723,54864054.90603875,153619588.89134002,430134672.73303115,
8,40.0,39.92915346121333,39.70703663723518,39.196000696952396,37.538754723987346,33.15837592272318,20.74321063774168,,,,,,,,,,,,,,,,,,,,,,,,
9,40.0,39.88756467056485,39.78280284224672,39.45812198128266,38.48985657120749,35.59105390342964,27.683652036076744,,,,,,,,,,,,,,,,,,,,,,,,
