1.80E+03,1.70E+03,1.80E+03,1.70E+03,1.80E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.75E+03,1.70E+03,1.80E+03,1.70E+03,1.80E+03,1.70E+03
2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.01E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03,1.99E+03,2.00E+03,2.00E+03,2.00E+03,2.00E+03
2.20E+03,2.30E+03,2.20E+03,2.30E+03,2.20E+03,2.28E+03,2.25E+03,2.25E+03,2.25E+03,2.25E+03,2.25E+03,2.25E+03,2.25E+03,2.25E+03,2.22E+03,2.30E+03,2.20E+03,2.30E+03,2.20E+03,2.30E+03
2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.54E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.46E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03,2.50E+03
2.80E+03,2.70E+03,2.80E+03,2.70E+03,2.80E+03,2.70E+03,2.75E+03,2.75E+03,2.75E+03,2.75E+03,2.75E+03,2.75E+03,2.75E+03,2.75E+03,2.80E+03,2.70E+03,2.80E+03,2.70E+03,2.80E+03,2.70E+03
3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,2.97E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.03E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03,3.00E+03
3.30E+03,3.20E+03,3.30E+03,3.20E+03,3.30E+03,3.20E+03,3.30E+03,3.23E+03,3.25E+03,3.25E+03,3.25E+03,3.25E+03,3.25E+03,3.22E+03,3.30E+03,3.20E+03,3.30E+03,3.20E+03,3.30E+03,3.20E+03
3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03,3.50E+03
3.70E+03,3.80E+03,3.70E+03,3.80E+03,3.70E+03,3.80E+03,3.70E+03,3.76E+03,3.75E+03,3.75E+03,3.75E+03,3.75E+03,3.74E+03,3.80E+03,3.70E+03,3.80E+03,3.70E+03,3.80E+03,3.70E+03,3.80E+03
4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.03E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,3.97E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03,4.00E+03
4.20E+03,4.30E+03,4.20E+03,4.30E+03,4.20E+03,4.30E+03,4.20E+03,4.29E+03,4.25E+03,4.25E+03,4.25E+03,4.25E+03,4.21E+03,4.30E+03,4.20E+03,4.30E+03,4.20E+03,4.30E+03,4.20E+03,4.30E+03
4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.45E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.55E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03,4.50E+03
4.80E+03,4.70E+03,4.80E+03,4.70E+03,4.80E+03,4.70E+03,4.80E+03,4.70E+03,4.77E+03,4.75E+03,4.75E+03,4.75E+03,4.78E+03,4.70E+03,4.80E+03,4.70E+03,4.80E+03,4.70E+03,4.80E+03,4.70E+03
5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,4.98E+03,5.00E+03,5.00E+03,5.00E+03,5.02E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03,5.00E+03
5.30E+03,5.20E+03,5.30E+03,5.20E+03,5.30E+03,5.20E+03,5.30E+03,5.20E+03,5.30E+03,5.25E+03,5.25E+03,5.25E+03,5.25E+03,5.20E+03,5.30E+03,5.20E+03,5.30E+03,5.20E+03,5.30E+03,5.20E+03
5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.51E+03,5.50E+03,5.50E+03,5.49E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03,5.50E+03
5.70E+03,5.80E+03,5.70E+03,5.80E+03,5.70E+03,5.80E+03,5.70E+03,5.80E+03,5.72E+03,5.75E+03,5.75E+03,5.78E+03,5.70E+03,5.80E+03,5.70E+03,5.80E+03,5.70E+03,5.80E+03,5.70E+03,5.80E+03
6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.04E+03,6.00E+03,6.00E+03,5.96E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03,6.00E+03
6.30E+03,6.20E+03,6.30E+03,6.20E+03,6.30E+03,6.20E+03,6.30E+03,6.20E+03,6.25E+03,6.25E+03,6.25E+03,6.25E+03,6.30E+03,6.20E+03,6.30E+03,6.20E+03,6.30E+03,6.20E+03,6.30E+03,6.20E+03
6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.47E+03,6.50E+03,6.50E+03,6.53E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03,6.50E+03
6.80E+03,6.70E+03,6.80E+03,6.70E+03,6.80E+03,6.70E+03,6.80E+03,6.70E+03,6.78E+03,6.75E+03,6.75E+03,6.72E+03,6.80E+03,6.70E+03,6.80E+03,6.70E+03,6.80E+03,6.70E+03,6.80E+03,6.70E+03
7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,6.99E+03,7.00E+03,7.00E+03,7.01E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03,7.00E+03
